feature,dtype,is_numeric,missing_rate_train,nunique_train,top_value_share_train,univariate_abs_gini_train,selected,rejection_reason,used_before_correlation_pruning,used_before_vif_pruning,used_in_model,correlation_pruned,vif_pruned
agr9_Mean_CMaxI_Days,float64,True,0.7862439273843007,40,0.7862439273843007,0.043679264534290496,True,,True,False,False,True,False
act_cins_utl,float64,True,0.6962413704934799,85,0.6962413704934799,0.04274214224794237,True,,True,True,True,False,False
ags9_Mean_CMaxI_Days,float64,True,0.5655842495525442,126,0.5655842495525442,0.04157557935714773,True,,True,True,True,False,False
agr6_Mean_CMaxI_Due,float64,True,0.7409869598568141,10,0.7409869598568141,0.0410536477655048,True,,True,True,True,False,False
agr6_Max_CMaxI_Due,float64,True,0.7409869598568141,4,0.7409869598568141,0.0409945216804366,True,,True,False,False,True,False
ags3_Max_CMaxI_Due,float64,True,0.6722065967783175,5,0.6722065967783175,0.040103967726576206,True,,True,True,True,False,False
ags3_Mean_CMaxI_Due,float64,True,0.6722065967783175,10,0.6722065967783175,0.04008617757708666,True,,True,False,False,True,False
act_cins_n_loans_hist,float64,True,0.028892866274610074,16,0.24034773715162364,0.03920399545827946,True,,True,False,False,True,False
agr3_Max_CMaxI_Due,float64,True,0.7005880848887752,4,0.7005880848887752,0.03915559578687411,True,,True,False,False,True,False
agr3_Mean_CMaxI_Due,float64,True,0.7005880848887752,8,0.7005880848887752,0.039138328877075246,True,,True,False,False,True,False
agr6_Mean_CMaxI_Days,float64,True,0.7599079519304526,34,0.7599079519304526,0.03824672844383281,True,,True,False,False,True,False
agr9_Min_CMaxI_Days,float64,True,0.7862439273843007,13,0.7862439273843007,0.03753093654672279,True,,True,False,False,True,False
act_ccss_min_seniority,float64,True,0.08437739708514447,120,0.365124009204807,0.032957298408827995,True,,True,True,True,False,False
act_cins_maxdue,float64,True,0.6962413704934799,4,0.6962413704934799,0.03180904890721381,True,,True,True,True,False,False
act_cins_dueutl,float64,True,0.6962413704934799,14,0.6962413704934799,0.03179387495617858,True,,True,False,False,True,False
agr6_Max_CMaxI_Days,float64,True,0.7599079519304526,5,0.7599079519304526,0.030454119727706064,True,,True,True,True,False,False
ags12_Max_CMaxA_Days,float64,True,0.25568908207619534,18,0.6870365635387369,0.03022624884233238,True,,True,True,True,False,False
app_char_cars,object,False,0.0,2,0.8639734083354641,0.029170351146156515,True,,True,True,True,False,False
act12_n_arrears_days,float64,True,0.23037586295065202,5,0.7200204551265661,0.02551526028558415,True,,True,True,True,False,False
ags9_Min_CMaxA_Due,float64,True,0.2541549475837382,8,0.709537202761442,0.024635955985077285,True,,True,False,False,True,False
act6_n_arrears_days,float64,True,0.23037586295065202,4,0.7399642035285093,0.024408346719548613,True,,True,False,False,True,False
ags9_Min_CMaxC_Due,float64,True,0.31066223472257737,8,0.6543083610329838,0.023258004259171017,True,,True,False,False,True,False
ags12_Max_CMaxI_Days,float64,True,0.511889542316543,16,0.511889542316543,0.02294824636217596,True,,True,True,True,False,False
agr9_Min_CMaxA_Due,float64,True,0.3254922014829967,2,0.6568652518537459,0.022290795690597776,True,,True,True,True,False,False
act9_n_arrears_days,float64,True,0.23037586295065202,5,0.7297366402454615,0.021923743047452593,True,,True,False,False,True,False
ags12_Max_CMaxC_Days,float64,True,0.3183329071848632,14,0.6315520327282025,0.02049320573261393,True,,True,False,False,True,False
act3_n_arrears_days,float64,True,0.23037586295065202,3,0.7504474558936334,0.0202075168613991,True,,True,True,True,False,False
ags3_Min_CMaxI_Due,float64,True,0.6722065967783175,4,0.6722065967783175,0.018862267616172268,False,weak_univariate_gini,True,False,False,True,False
agr9_Max_CMaxA_Days,float64,True,0.3676809000255689,13,0.5942214267450779,0.018482133980755044,False,weak_univariate_gini,True,True,True,False,False
agr3_Min_CMaxI_Due,float64,True,0.7005880848887752,3,0.7005880848887752,0.018390567034852978,False,weak_univariate_gini,True,False,False,True,False
agr9_Min_CMaxC_Due,float64,True,0.37739708514446435,2,0.6075172590130401,0.018303970866013985,False,weak_univariate_gini,True,False,False,True,False
agr12_Max_CMaxA_Days,float64,True,0.4011761697775505,12,0.5584249552544106,0.017664048724080228,False,weak_univariate_gini,True,False,False,True,False
agr3_Min_CMaxI_Days,float64,True,0.7156737407312708,13,0.7156737407312708,0.017529837743371912,False,weak_univariate_gini,True,True,True,False,False
ags9_Max_CMaxA_Days,float64,True,0.26693940168754793,14,0.6837126054717464,0.016439667847444328,False,weak_univariate_gini,True,False,False,True,False
ags9_Max_CMaxC_Days,float64,True,0.3254922014829967,13,0.628228074661212,0.015423013128083696,False,weak_univariate_gini,True,False,False,True,False
ags6_Min_CMaxI_Days,float64,True,0.6210687803630784,14,0.6210687803630784,0.01436816191129009,False,weak_univariate_gini,True,False,False,True,False
ags12_Mean_CMaxI_Days,float64,True,0.511889542316543,179,0.511889542316543,0.013895414850588761,False,weak_univariate_gini,True,True,False,False,True
act_ccss_n_loan,float64,True,0.0,7,0.29378675530554843,0.01369213623068588,False,weak_univariate_gini,True,False,False,True,False
agr6_Max_CMaxA_Days,float64,True,0.3410892354896446,12,0.6169777550498594,0.013562634407195517,False,weak_univariate_gini,True,False,False,True,False
agr9_Max_CMaxI_Days,float64,True,0.7862439273843007,4,0.7862439273843007,0.013137763778209188,False,weak_univariate_gini,True,True,True,False,False
ags6_Max_CMaxA_Days,float64,True,0.27409869598568143,13,0.6752748657632319,0.012660569180135584,False,weak_univariate_gini,True,False,False,True,False
ags6_Min_CMaxI_Due,float64,True,0.6200460240347737,6,0.6200460240347737,0.010474473751680868,False,weak_univariate_gini,True,False,False,True,False
ags12_Min_CMaxC_Due,float64,True,0.29838915878292,8,0.6678598823830223,0.009886613958988377,False,weak_univariate_gini,True,False,False,True,False
ags12_Min_CMaxI_Days,float64,True,0.511889542316543,16,0.511889542316543,0.00983926076696473,False,weak_univariate_gini,True,True,True,False,False
ags12_Min_CMaxI_Due,float64,True,0.5111224750703145,8,0.5111224750703145,0.00945598769340239,False,weak_univariate_gini,True,False,False,True,False
agr3_Mean_CMaxI_Days,float64,True,0.7156737407312708,21,0.7156737407312708,0.009347153837701572,False,weak_univariate_gini,True,False,False,True,False
act_call_n_loan,float64,True,0.0,8,0.2792124776272053,0.009239366461382348,False,weak_univariate_gini,True,False,False,True,False
agr9_Max_CMaxC_Days,float64,True,0.46893377652774226,13,0.4991050882127333,0.008477006231784934,False,weak_univariate_gini,True,False,False,True,False
act_cins_n_loans_act,float64,True,0.6962413704934799,3,0.6962413704934799,0.007939639069261428,False,weak_univariate_gini,True,True,True,False,False
ags12_Min_CMaxA_Due,float64,True,0.242137560726157,8,0.7266683712605472,0.006736711019950992,False,weak_univariate_gini,True,True,True,False,False
ags9_Min_CMaxI_Due,float64,True,0.564050115060087,7,0.564050115060087,0.006445004892291273,False,weak_univariate_gini,True,True,True,False,False
agr12_Max_CMaxC_Days,float64,True,0.5267195090769624,12,0.5267195090769624,0.0062417262723879485,False,weak_univariate_gini,True,False,False,True,False
agr6_Min_CMaxI_Due,float64,True,0.7409869598568141,2,0.7409869598568141,0.005990832840615967,False,weak_univariate_gini,True,True,True,False,False
agr12_Min_CMaxA_Due,float64,True,0.34390181539248277,2,0.6502173357197648,0.005383874799206545,False,weak_univariate_gini,True,True,True,False,False
act_cins_min_lninst,float64,True,0.6962413704934799,36,0.6962413704934799,0.0046131427345552645,False,weak_univariate_gini,True,False,False,True,False
agr12_Max_CMaxI_Days,float64,True,0.8113014574277678,4,0.8113014574277678,0.004325360904576803,False,weak_univariate_gini,True,True,True,False,False
ags6_Max_CMaxC_Days,float64,True,0.329838915878292,12,0.6146765533111737,0.003457829497114151,False,weak_univariate_gini,True,False,False,True,False
act_cins_n_statB,float64,True,0.028892866274610074,14,0.7849654819739197,0.0033395773269776496,False,weak_univariate_gini,True,True,True,False,False
agr6_Max_CMaxC_Days,float64,True,0.4221426745077985,12,0.5387368959345435,0.003203796627196942,False,weak_univariate_gini,True,True,True,False,False
agr12_Min_CMaxC_Due,float64,True,0.417540271030427,2,0.5781130145742777,0.0023778627751585013,False,weak_univariate_gini,True,False,False,True,False
ags3_Min_CMaxI_Days,float64,True,0.6732293531066224,14,0.6732293531066224,0.0022224605869702874,False,weak_univariate_gini,True,False,False,True,False
agr12_Min_CMaxI_Due,float64,True,0.781385834824853,2,0.781385834824853,0.002004008016031955,False,weak_univariate_gini,True,True,True,False,False
agr9_Min_CMaxI_Due,float64,True,0.761697775504986,2,0.761697775504986,0.001982816808551835,False,weak_univariate_gini,True,False,False,True,False
ags3_Mean_CMaxI_Days,float64,True,0.6732293531066224,32,0.6732293531066224,0.0015419873689939134,False,weak_univariate_gini,True,False,False,True,False
app_spendings,float64,True,0.0,136,0.03937611863973409,0.0008753800028253877,False,weak_univariate_gini,True,False,False,True,False
act_cus_active,float64,True,0.2817693684479673,1,0.7182306315520327,0.0,False,constant_or_empty;weak_univariate_gini,True,True,True,False,False
