Variable,Gini train,Gini test,n_buckets,weighted_BR_train,min_BR,max_BR,BR_spread,highest_BR_bucket,highest_BR_bucket_share,highest_BR_bucket_all,highest_BR_bucket_bad,lowest_BR_bucket,lowest_BR_bucket_share,lowest_BR_bucket_all,lowest_BR_bucket_bad
agr12_Mean_CMaxI_Days,0.1141324070843988,0.1083650298853205,5,0.509641873278237,0.47673343605547,0.8148148148148148,0.3380813787593448,11.708 <= agr12_Mean_CMaxI_Days < 12.208,0.0270473328324568,108,88,agr12_Mean_CMaxI_Days = Missing,0.8126721763085399,3245,1547
ags6_Max_CMaxI_Days,0.2278303840101592,0.2070866817284869,4,0.509641873278237,0.4204819277108434,0.7578125,0.3373305722891566,ags6_Max_CMaxI_Days < 13.5,0.03205609817180065,128,97,ags6_Max_CMaxI_Days = Missing,0.6235912847483095,2490,1047
ags12_Min_CMaxI_Days,0.3048989466762704,0.2861955558097633,5,0.509641873278237,0.3705509507557289,0.6936488169364882,0.32309786618075925,6.5 <= ags12_Min_CMaxI_Days < 9.5,0.2011019283746557,803,557,ags12_Min_CMaxI_Days = Missing,0.513648885549712,2051,760
ags9_Max_CMaxI_Days,0.2620406923777709,0.2558583807590014,4,0.509641873278237,0.3955849889624724,0.7156862745098039,0.3201012855473315,ags9_Max_CMaxI_Days < 13.5,0.02554470323065364,102,73,ags9_Max_CMaxI_Days = Missing,0.5672426746806912,2265,896
act_cins_min_pninst,0.1838728783570458,0.1576915377355792,5,0.509641873278237,0.44994617868676,0.7624521072796935,0.31250592859293347,23.500 <= act_cins_min_pninst,0.06536438767843726,261,199,act_cins_min_pninst = Missing,0.6979714500375658,2787,1254
agr12_Max_CMaxI_Due,0.1533731707378285,0.1278176566476963,3,0.5096418732782368,0.4619565217391304,0.7727272727272727,0.31077075098814233,0.500 <= agr12_Max_CMaxI_Due,0.04958677685950413,198,153,agr12_Max_CMaxI_Due = Missing,0.7833708990733784,3128,1445
app_installment,0.2286061342241117,0.2378928704206824,4,0.509641873278237,0.283132530120482,0.5928571428571429,0.30972461273666085,199.5 <= app_installment < 208.5,0.6661657901327322,2660,1577,app_installment < 121.5,0.08314550463310794,332,94
ags3_Max_CMaxI_Days,0.1907602653261489,0.1656990877112707,5,0.5096418732782371,0.4404452690166976,0.75,0.3095547309833024,ags3_Max_CMaxI_Days < 12.5,0.02804908590032557,112,84,ags3_Max_CMaxI_Days = Missing,0.6749311294765841,2695,1187
ags9_Min_CMaxI_Days,0.2747011567236286,0.2500643463837333,5,0.509641873278237,0.3955849889624724,0.7019667170953101,0.3063817281328377,6.5 <= ags9_Min_CMaxI_Days < 9.5,0.1655396944653143,661,464,ags9_Min_CMaxI_Days = Missing,0.5672426746806912,2265,896
ags6_Mean_CMaxI_Days,0.2349203042767904,0.2123945434266594,5,0.509641873278237,0.4204819277108434,0.7242424242424242,0.3037604965315808,ags6_Mean_CMaxI_Days < 11.917,0.08264462809917356,330,239,ags6_Mean_CMaxI_Days = Missing,0.6235912847483095,2490,1047
act3_n_arrears_days,0.2163873781851309,0.2043526753796436,2,0.5096418732782368,0.2764578833693305,0.5800456472122595,0.30358776384292896,0.000 <= act3_n_arrears_days,0.7680941647883797,3067,1779,act3_n_arrears_days = Missing,0.2319058352116203,926,256
act_cins_cc,0.1870501665190123,0.1549746904223981,5,0.5096418732782371,0.44994617868676,0.751984126984127,0.30203794829736696,0.575 <= act_cins_cc,0.1262208865514651,504,379,act_cins_cc = Missing,0.6979714500375658,2787,1254
ags12_Min_CMaxA_Due,0.2208403500538334,0.2085280407241112,2,0.509641873278237,0.2829218106995885,0.5825885468387951,0.29966673613920664,0.000 <= ags12_Min_CMaxA_Due,0.7565740045078888,3021,1760,ags12_Min_CMaxA_Due = Missing,0.2434259954921112,972,275
act_ccss_n_statB,0.1774911972051911,0.1262390253667744,5,0.5096418732782368,0.3531157270029673,0.6495016611295681,0.2963859341266008,6.500 <= act_ccss_n_statB,0.1507638367142499,602,391,act_ccss_n_statB = Missing,0.0843976959679439,337,119
ags12_Max_CMaxI_Days,0.2925306121424609,0.280819057968942,4,0.509641873278237,0.3705509507557289,0.6642599277978339,0.293708977042105,14.500 <= ags12_Max_CMaxI_Days,0.4162283996994741,1662,1104,ags12_Max_CMaxI_Days = Missing,0.513648885549712,2051,760
agr12_Min_CMaxI_Days,0.1122531390151411,0.1119913060885978,5,0.5096418732782368,0.47673343605547,0.7580645161290323,0.2813310800735623,agr12_Min_CMaxI_Days < 5.5,0.01552717255196594,62,47,agr12_Min_CMaxI_Days = Missing,0.8126721763085399,3245,1547
act_cus_active,0.2243519310935043,0.2128349586753226,2,0.5096418732782368,0.3111702127659575,0.587783595113438,0.2766133823474805,act_cus_active < inf,0.7175056348610067,2865,1684,act_cus_active = Missing,0.2824943651389932,1128,351
app_income,0.1812926493212497,0.203237338061601,4,0.5096418732782368,0.425042111173498,0.7004950495049505,0.27545293833145246,app_income < 582.5,0.1011770598547458,404,283,1064.5 <= app_income < 2126.5,0.44603055346857,1781,757
agr6_Max_CMaxA_Days,0.1676032053968723,0.1830697514799668,3,0.509641873278237,0.3894582723279649,0.660377358490566,0.2709190861626011,agr6_Max_CMaxA_Days < 15,0.01327322814926121,53,35,agr6_Max_CMaxA_Days = Missing,0.3420986726771851,1366,532
ags9_Min_CMaxI_Due,0.2598321508433867,0.2512426001658707,2,0.5096418732782371,0.3948649845064188,0.6591695501730104,0.26430456566659155,0.000 <= ags9_Min_CMaxI_Due,0.434259954921112,1734,1143,ags9_Min_CMaxI_Due = Missing,0.5657400450788881,2259,892
app_char_marital_status,0.09468670081540376,0.1408928418222897,4,0.509641873278237,0.4480077745383868,0.7105263157894737,0.26251854125108687,<OTHERS>,0.009516654144753318,38,27,Widowed,0.2577009767092412,1029,461
act_cc,0.2067285225610047,0.1588469128035004,4,0.5096418732782368,0.4212345679012346,0.676056338028169,0.2548217701269344,0.809 <= act_cc,0.106686701728024,426,288,act_cc < 0.548,0.507137490608565,2025,853
app_n_installments,0.1699118842121905,0.18387622615609,3,0.5096418732782368,0.326219512195122,0.5654064904650384,0.23918697826991642,18 <= app_n_installments < 30,0.7485599799649386,2989,1690,app_n_installments < 18,0.1642875031304783,656,214
agr9_Max_CMaxI_Days,0.127768896206077,0.1229273314839705,3,0.509641873278237,0.4693163751987282,0.7058823529411765,0.2365659777424483,agr9_Max_CMaxI_Days < 14.5,0.01702980215376909,68,48,agr9_Max_CMaxI_Days = Missing,0.7876283496118207,3145,1476
agr6_Min_CMaxI_Days,0.1310056644070945,0.1328910115251523,5,0.5096418732782368,0.4685958566261098,0.6938202247191011,0.2252243680929913,6.5 <= agr6_Min_CMaxI_Days < 9.5,0.08915602304032057,356,247,agr6_Min_CMaxI_Days = Missing,0.7615827698472326,3041,1425
agr9_Min_CMaxA_Due,0.1964994616680009,0.2051419910201047,2,0.509641873278237,0.3593869731800766,0.5825892857142857,0.22320231253420908,0.000 <= agr9_Min_CMaxA_Due,0.6731780616078137,2688,1566,agr9_Min_CMaxA_Due = Missing,0.3268219383921863,1305,469
agr12_Min_CMaxI_Due,0.1494768517240428,0.1265364486515856,2,0.5096418732782368,0.4619565217391304,0.6820809248554913,0.22012440311636094,0.000 <= agr12_Min_CMaxI_Due,0.2166291009266216,865,590,agr12_Min_CMaxI_Due = Missing,0.7833708990733784,3128,1445
agr12_Max_CMaxI_Days,0.1072176643167451,0.1084622644207396,3,0.509641873278237,0.47673343605547,0.6896551724137931,0.21292173635832318,agr12_Max_CMaxI_Days < 15,0.007262709742048585,29,20,agr12_Max_CMaxI_Days = Missing,0.8126721763085399,3245,1547
agr3_Min_CMaxI_Days,0.1496505233992467,0.1472359653387481,5,0.509641873278237,0.4587988826815643,0.6685714285714286,0.20977254588986427,agr3_Min_CMaxI_Days < 8.5,0.0438266967192587,175,117,agr3_Min_CMaxI_Days = Missing,0.7172551965940396,2864,1314
agr6_Max_CMaxI_Days,0.1267341443030923,0.1284639803243057,3,0.5096418732782368,0.4685958566261098,0.6772486772486772,0.2086528206225674,agr6_Max_CMaxI_Days < 14.5,0.0473328324567994,189,128,agr6_Max_CMaxI_Days = Missing,0.7615827698472326,3041,1425
act_cins_n_loans_act,0.1692902299643873,0.1473503589098293,3,0.509641873278237,0.44994617868676,0.6553620531622365,0.2054158744754765,act_cins_n_loans_act < 1.5,0.2732281492612071,1091,715,act_cins_n_loans_act = Missing,0.6979714500375658,2787,1254
agr12_Min_CMaxA_Due,0.1831847168925822,0.1936625961620957,2,0.5096418732782368,0.3770848440899202,0.5795715378729915,0.20248669378307133,0.000 <= agr12_Min_CMaxA_Due,0.6546456298522414,2614,1515,agr12_Min_CMaxA_Due = Missing,0.3453543701477586,1379,520
agr6_Min_CMaxI_Due,0.1514286503050548,0.1480595990505333,2,0.509641873278237,0.4587125042130098,0.6569200779727096,0.19820757375969977,0.000 <= agr6_Min_CMaxI_Due,0.2569496619083396,1026,674,agr6_Min_CMaxI_Due = Missing,0.7430503380916604,2967,1361
act_call_cc,0.1725162064283619,0.1262275860096662,4,0.5096418732782368,0.4354644149577804,0.631236442516269,0.1957720275584886,1.477 <= act_call_cc,0.1154520410718758,461,291,act_call_cc < 0.75,0.4152266466316053,1658,722
act_age,0.1121266498181717,0.04281751365573272,4,0.509641873278237,0.4638720353006067,0.6008629989212514,0.13699096362064467,48.5 <= act_age < 57.5,0.2321562734785875,927,557,57.5 <= act_age < 70.5,0.4540445780115202,1813,841
act_cins_n_statC,0.08970518480222256,0.04006062859267323,5,0.509641873278237,0.4444444444444444,0.5705939629990263,0.1261495185545819,0.5 <= act_cins_n_statC < 1.5,0.2572001001753068,1027,586,act_cins_n_statC = Missing,0.02930127723516153,117,52
app_char_home_status,0.04717168649752912,0.03863070895415688,2,0.509641873278237,0.4201520912547528,0.5232189212575714,0.10306683000281863,Owner,0.8682694715752567,3467,1814,Rental,0.1317305284247433,526,221
agr9_Max_CMaxC_Days,0.03276772919265269,0.1154459919352533,3,0.5096418732782368,0.4943940202883075,0.5897435897435898,0.09534956945528228,15.500 <= agr9_Max_CMaxC_Days,0.02930127723516153,117,69,agr9_Max_CMaxC_Days = Missing,0.4690708740295517,1873,926
act_cins_n_loan,0.09474668279571241,0.08401063860211044,3,0.5096418732782368,0.4634510193933367,0.5584192439862543,0.0949682245929176,act_cins_n_loan < 0.5,0.4372652141247182,1746,975,0.5 <= act_cins_n_loan < 1.5,0.5036313548710243,2011,932
app_char_gender,0.0636501670209535,0.01550032888151676,2,0.509641873278237,0.4892386765178285,0.5818181818181818,0.0925795053003533,Male,0.2203856749311295,880,512,Female,0.7796143250688705,3113,1523
act_cins_n_statB,0.01645162666613142,0.0607544256012813,4,0.509641873278237,0.4444444444444444,0.5263157894736842,0.08187134502923976,1.500 <= act_cins_n_statB,0.06661657901327322,266,140,act_cins_n_statB = Missing,0.02930127723516153,117,52
app_char_city,0.05908325448672747,0.06132067377813355,4,0.509641873278237,0.4681404421326398,0.5446708463949843,0.07653040426234453,Medium,0.3195592286501377,1276,695,Small,0.1925870272977711,769,360
app_char_cars,0.02830522044005201,0.000537649784082106,2,0.509641873278237,0.4577205882352941,0.5178312554363583,0.06011066720106423,Owner,0.8637615827698473,3449,1786,No,0.1362384172301528,544,249
