stage,dropped_feature,kept_feature,dropped_encoded_term,kept_encoded_term,abs_correlation,dropped_univariate_abs_gini,kept_univariate_abs_gini,threshold
raw_numeric_correlation,act_ccss_n_loans_hist,act_ccss_n_statC,act_ccss_n_loans_hist,act_ccss_n_statC,0.939402819400445,0.31807060596388603,0.3690603138391666,0.75
raw_numeric_correlation,agr3_Max_CMaxA_Days,ags3_Max_CMaxA_Days,agr3_Max_CMaxA_Days,ags3_Max_CMaxA_Days,0.9385547589205326,0.06987656775692386,0.07931842797867261,0.75
raw_numeric_correlation,agr9_Mean_CMaxA_Due,agr6_Mean_CMaxA_Due,agr9_Mean_CMaxA_Due,agr6_Mean_CMaxA_Due,0.9344890207930655,0.23433655823396116,0.2737817671897318,0.75
raw_numeric_correlation,ags9_Mean_CMaxA_Due,ags9_Mean_CMaxC_Due,ags9_Mean_CMaxA_Due,ags9_Mean_CMaxC_Due,0.9297022674614863,0.21425801995636196,0.22762025356195403,0.75
raw_numeric_correlation,ags3_Min_CMaxC_Due,ags3_Mean_CMaxC_Due,ags3_Min_CMaxC_Due,ags3_Mean_CMaxC_Due,0.9273816275212398,0.1863363803324667,0.2456029552577741,0.75
raw_numeric_correlation,ags9_Max_CMaxC_Due,ags9_Mean_CMaxC_Due,ags9_Max_CMaxC_Due,ags9_Mean_CMaxC_Due,0.924958107712402,0.16270138187602368,0.22762025356195403,0.75
raw_numeric_correlation,agr9_Min_CMaxC_Due,agr9_Min_CMaxA_Due,agr9_Min_CMaxC_Due,agr9_Min_CMaxA_Due,0.9235002162858585,0.018303970866013985,0.022290795690597776,0.75
raw_numeric_correlation,ags9_Min_CMaxC_Due,ags9_Mean_CMaxC_Due,ags9_Min_CMaxC_Due,ags9_Mean_CMaxC_Due,0.9220752048586542,0.023258004259171017,0.22762025356195403,0.75
raw_numeric_correlation,ags3_Min_CMaxI_Days,agr3_Min_CMaxI_Days,ags3_Min_CMaxI_Days,agr3_Min_CMaxI_Days,0.9192906873964012,0.0022224605869702874,0.017529837743371912,0.75
raw_numeric_correlation,act6_n_arrears,agr6_Mean_CMaxA_Due,act6_n_arrears,agr6_Mean_CMaxA_Due,0.9187853301969956,0.24710308345149823,0.2737817671897318,0.75
raw_numeric_correlation,ags6_Max_CMaxC_Due,ags6_Mean_CMaxC_Due,ags6_Max_CMaxC_Due,ags6_Mean_CMaxC_Due,0.9107753337584877,0.16036197721814371,0.2651388939759416,0.75
raw_numeric_correlation,ags3_Min_CMaxC_Days,ags3_Mean_CMaxC_Days,ags3_Min_CMaxC_Days,ags3_Mean_CMaxC_Days,0.9084521011380073,0.28697839543316406,0.2943212796349879,0.75
raw_numeric_correlation,act9_n_arrears_days,act12_n_arrears_days,act9_n_arrears_days,act12_n_arrears_days,0.9075257815988034,0.021923743047452593,0.02551526028558415,0.75
raw_numeric_correlation,agr12_Max_CMaxC_Due,agr12_Max_CMaxA_Due,agr12_Max_CMaxC_Due,agr12_Max_CMaxA_Due,0.9062473268396487,0.15515626553367845,0.16590727146198403,0.75
raw_numeric_correlation,ags6_Min_CMaxC_Due,ags6_Mean_CMaxC_Due,ags6_Min_CMaxC_Due,ags6_Mean_CMaxC_Due,0.9040844018761145,0.08470439573664312,0.2651388939759416,0.75
raw_numeric_correlation,agr3_Max_CMaxA_Due,agr3_Max_CMaxC_Due,agr3_Max_CMaxA_Due,agr3_Max_CMaxC_Due,0.9028764442794931,0.1223459974779848,0.13334004824269963,0.75
raw_numeric_correlation,ags9_Mean_CMaxC_Days,ags12_Mean_CMaxC_Days,ags9_Mean_CMaxC_Days,ags12_Mean_CMaxC_Days,0.902091620163838,0.40304447014132705,0.4277513251045172,0.75
raw_numeric_correlation,ags3_Max_CMaxC_Due,ags3_Mean_CMaxC_Due,ags3_Max_CMaxC_Due,ags3_Mean_CMaxC_Due,0.9007106176608355,0.1330810445957189,0.2456029552577741,0.75
raw_numeric_correlation,ags3_Min_CMaxA_Days,ags3_Mean_CMaxA_Days,ags3_Min_CMaxA_Days,ags3_Mean_CMaxA_Days,0.898964625885712,0.22846816348100907,0.30373802435157526,0.75
raw_numeric_correlation,agr9_Max_CMaxI_Due,agr12_Max_CMaxI_Due,agr9_Max_CMaxI_Due,agr12_Max_CMaxI_Due,0.8974077247200497,0.04743010825829219,0.05392063500368871,0.75
raw_numeric_correlation,agr6_Min_CMaxA_Days,agr6_Mean_CMaxA_Days,agr6_Min_CMaxA_Days,agr6_Mean_CMaxA_Days,0.8891582662195343,0.3374851530737717,0.34854853309752676,0.75
raw_numeric_correlation,agr12_Min_CMaxC_Days,agr12_Mean_CMaxC_Days,agr12_Min_CMaxC_Days,agr12_Mean_CMaxC_Days,0.887149149487882,0.3810984894070125,0.39344825421077145,0.75
raw_numeric_correlation,act_cins_dueutl,act_cins_maxdue,act_cins_dueutl,act_cins_maxdue,0.8862990801063598,0.03179387495617858,0.03180904890721381,0.75
raw_numeric_correlation,ags3_Min_CMaxA_Due,ags3_Mean_CMaxC_Due,ags3_Min_CMaxA_Due,ags3_Mean_CMaxC_Due,0.8852943113314532,0.2040726361338867,0.2456029552577741,0.75
raw_numeric_correlation,ags9_Min_CMaxA_Days,ags12_Min_CMaxA_Days,ags9_Min_CMaxA_Days,ags12_Min_CMaxA_Days,0.8817115867909522,0.33618699540072317,0.40179994453659273,0.75
raw_numeric_correlation,agr9_Mean_CMaxC_Due,agr6_Mean_CMaxA_Due,agr9_Mean_CMaxC_Due,agr6_Mean_CMaxA_Due,0.8789872802819365,0.2192110068701374,0.2737817671897318,0.75
raw_numeric_correlation,agr9_Max_CMaxC_Days,agr9_Max_CMaxA_Days,agr9_Max_CMaxC_Days,agr9_Max_CMaxA_Days,0.8788248860336583,0.008477006231784934,0.018482133980755044,0.75
raw_numeric_correlation,ags9_Max_CMaxA_Due,ags9_Mean_CMaxC_Due,ags9_Max_CMaxA_Due,ags9_Mean_CMaxC_Due,0.8782952906936229,0.15524024550406312,0.22762025356195403,0.75
raw_numeric_correlation,ags12_Max_CMaxC_Days,ags12_Max_CMaxA_Days,ags12_Max_CMaxC_Days,ags12_Max_CMaxA_Days,0.8759433309681964,0.02049320573261393,0.03022624884233238,0.75
raw_numeric_correlation,agr3_Mean_CMaxI_Days,agr3_Min_CMaxI_Days,agr3_Mean_CMaxI_Days,agr3_Min_CMaxI_Days,0.8736698247052914,0.009347153837701572,0.017529837743371912,0.75
raw_numeric_correlation,app_spendings,app_income,app_spendings,app_income,0.870289782903701,0.0008753800028253877,0.07203990225882573,0.75
raw_numeric_correlation,agr12_Min_CMaxA_Days,agr12_Mean_CMaxA_Days,agr12_Min_CMaxA_Days,agr12_Mean_CMaxA_Days,0.8675157315402193,0.3802484865291942,0.40264026748012993,0.75
raw_numeric_correlation,agr3_Min_CMaxA_Days,ags3_Mean_CMaxA_Days,agr3_Min_CMaxA_Days,ags3_Mean_CMaxA_Days,0.8672198718587137,0.23161466536205566,0.30373802435157526,0.75
raw_numeric_correlation,ags6_Max_CMaxA_Due,ags6_Mean_CMaxC_Due,ags6_Max_CMaxA_Due,ags6_Mean_CMaxC_Due,0.8671741855239061,0.14889884207056414,0.2651388939759416,0.75
raw_numeric_correlation,ags6_Min_CMaxA_Due,ags6_Mean_CMaxC_Due,ags6_Min_CMaxA_Due,ags6_Mean_CMaxC_Due,0.8670226203327368,0.0961439850981336,0.2651388939759416,0.75
raw_numeric_correlation,ags6_Min_CMaxI_Due,ags6_Mean_CMaxI_Due,ags6_Min_CMaxI_Due,ags6_Mean_CMaxI_Due,0.8656369528638727,0.010474473751680868,0.054628055065745196,0.75
raw_numeric_correlation,agr3_Max_CMaxC_Days,ags3_Max_CMaxC_Days,agr3_Max_CMaxC_Days,ags3_Max_CMaxC_Days,0.8634331937400788,0.07752580879775206,0.10509452325015578,0.75
raw_numeric_correlation,agr3_Mean_CMaxA_Due,agr6_Mean_CMaxA_Due,agr3_Mean_CMaxA_Due,agr6_Mean_CMaxA_Due,0.8618926908687966,0.24166740792289532,0.2737817671897318,0.75
raw_numeric_correlation,agr9_Mean_CMaxA_Days,agr12_Mean_CMaxA_Days,agr9_Mean_CMaxA_Days,agr12_Mean_CMaxA_Days,0.8609388385416489,0.3927834781835211,0.40264026748012993,0.75
raw_numeric_correlation,agr9_Max_CMaxC_Due,agr12_Max_CMaxA_Due,agr9_Max_CMaxC_Due,agr12_Max_CMaxA_Due,0.859939830016416,0.16132447662949922,0.16590727146198403,0.75
raw_numeric_correlation,agr12_Min_CMaxC_Due,agr12_Min_CMaxA_Due,agr12_Min_CMaxC_Due,agr12_Min_CMaxA_Due,0.8590643508609094,0.0023778627751585013,0.005383874799206545,0.75
raw_numeric_correlation,ags12_Max_CMaxI_Due,ags12_Mean_CMaxI_Due,ags12_Max_CMaxI_Due,ags12_Mean_CMaxI_Due,0.8585853901453838,0.0839736915083431,0.08403491055217471,0.75
raw_numeric_correlation,agr12_Mean_CMaxA_Due,agr6_Mean_CMaxA_Due,agr12_Mean_CMaxA_Due,agr6_Mean_CMaxA_Due,0.8585790132581365,0.20979818645123172,0.2737817671897318,0.75
raw_numeric_correlation,act_ccss_maxdue,act_ccss_dueutl,act_ccss_maxdue,act_ccss_dueutl,0.8581983437136059,0.24381190579592604,0.2687102664859746,0.75
raw_numeric_correlation,ags12_Min_CMaxC_Days,ags12_Mean_CMaxC_Days,ags12_Min_CMaxC_Days,ags12_Mean_CMaxC_Days,0.8550518164744207,0.4025811413950616,0.4277513251045172,0.75
raw_numeric_correlation,ags3_Max_CMaxA_Due,ags3_Mean_CMaxC_Due,ags3_Max_CMaxA_Due,ags3_Mean_CMaxC_Due,0.8534454053652424,0.1243316921048363,0.2456029552577741,0.75
raw_numeric_correlation,act9_n_arrears,agr6_Mean_CMaxA_Due,act9_n_arrears,agr6_Mean_CMaxA_Due,0.8516400755873278,0.20369904299460528,0.2737817671897318,0.75
raw_numeric_correlation,ags6_Mean_CMaxA_Days,agr6_Mean_CMaxA_Days,ags6_Mean_CMaxA_Days,agr6_Mean_CMaxA_Days,0.8502069264939273,0.3367620358209893,0.34854853309752676,0.75
raw_numeric_correlation,agr6_Max_CMaxA_Days,agr9_Max_CMaxA_Days,agr6_Max_CMaxA_Days,agr9_Max_CMaxA_Days,0.8421238046544516,0.013562634407195517,0.018482133980755044,0.75
raw_numeric_correlation,agr3_Mean_CMaxC_Due,agr6_Mean_CMaxA_Due,agr3_Mean_CMaxC_Due,agr6_Mean_CMaxA_Due,0.8412102520453771,0.24640795952217776,0.2737817671897318,0.75
raw_numeric_correlation,ags12_Min_CMaxI_Due,ags12_Mean_CMaxI_Due,ags12_Min_CMaxI_Due,ags12_Mean_CMaxI_Due,0.8394962079084735,0.00945598769340239,0.08403491055217471,0.75
raw_numeric_correlation,act_cins_n_loans_hist,act_cins_n_statC,act_cins_n_loans_hist,act_cins_n_statC,0.8375552081005493,0.03920399545827946,0.08118037641863352,0.75
raw_numeric_correlation,agr3_Min_CMaxC_Days,ags3_Mean_CMaxC_Days,agr3_Min_CMaxC_Days,ags3_Mean_CMaxC_Days,0.837206911563537,0.28461570660904056,0.2943212796349879,0.75
raw_numeric_correlation,agr12_Mean_CMaxI_Due,agr12_Max_CMaxI_Due,agr12_Mean_CMaxI_Due,agr12_Max_CMaxI_Due,0.8354462583064428,0.05387458991089211,0.05392063500368871,0.75
raw_numeric_correlation,act6_n_good_days,act12_n_good_days,act6_n_good_days,act12_n_good_days,0.8347043833534262,0.3522352799593964,0.3850868839506689,0.75
raw_numeric_correlation,agr6_Max_CMaxA_Due,agr6_Mean_CMaxA_Due,agr6_Max_CMaxA_Due,agr6_Mean_CMaxA_Due,0.8309940569019684,0.16387736308125378,0.2737817671897318,0.75
raw_numeric_correlation,agr3_Max_CMaxI_Due,ags3_Max_CMaxI_Due,agr3_Max_CMaxI_Due,ags3_Max_CMaxI_Due,0.8287584034537555,0.03915559578687411,0.040103967726576206,0.75
raw_numeric_correlation,agr9_Mean_CMaxI_Days,agr12_Mean_CMaxI_Days,agr9_Mean_CMaxI_Days,agr12_Mean_CMaxI_Days,0.8224768483830639,0.043679264534290496,0.04389353118770156,0.75
raw_numeric_correlation,ags9_Min_CMaxA_Due,ags9_Mean_CMaxC_Due,ags9_Min_CMaxA_Due,ags9_Mean_CMaxC_Due,0.8201171112384142,0.024635955985077285,0.22762025356195403,0.75
raw_numeric_correlation,ags6_Max_CMaxI_Due,ags9_Max_CMaxI_Due,ags6_Max_CMaxI_Due,ags9_Max_CMaxI_Due,0.8171769723461292,0.05448625710951949,0.06774201143801983,0.75
raw_numeric_correlation,ags9_Mean_CMaxI_Due,ags12_Mean_CMaxI_Due,ags9_Mean_CMaxI_Due,ags12_Mean_CMaxI_Due,0.8165739070086058,0.06780898611845121,0.08403491055217471,0.75
raw_numeric_correlation,agr9_Min_CMaxI_Due,agr12_Min_CMaxI_Due,agr9_Min_CMaxI_Due,agr12_Min_CMaxI_Due,0.8162875711762071,0.001982816808551835,0.002004008016031955,0.75
raw_numeric_correlation,agr12_Max_CMaxC_Days,agr9_Max_CMaxA_Days,agr12_Max_CMaxC_Days,agr9_Max_CMaxA_Days,0.8159915746492892,0.0062417262723879485,0.018482133980755044,0.75
raw_numeric_correlation,agr3_Max_CMaxI_Days,ags3_Max_CMaxI_Days,agr3_Max_CMaxI_Days,ags3_Max_CMaxI_Days,0.8152088206972782,0.07377025591653263,0.09358638948916098,0.75
raw_numeric_correlation,act6_n_arrears_days,act12_n_arrears_days,act6_n_arrears_days,act12_n_arrears_days,0.8139953123386042,0.024408346719548613,0.02551526028558415,0.75
raw_numeric_correlation,ags12_Mean_CMaxA_Days,ags12_Min_CMaxA_Days,ags12_Mean_CMaxA_Days,ags12_Min_CMaxA_Days,0.8137413328058312,0.37429244912802107,0.40179994453659273,0.75
raw_numeric_correlation,ags6_Mean_CMaxC_Days,ags12_Mean_CMaxC_Days,ags6_Mean_CMaxC_Days,ags12_Mean_CMaxC_Days,0.8108369167989781,0.3814590015540219,0.4277513251045172,0.75
raw_numeric_correlation,act3_n_arrears,agr6_Mean_CMaxA_Due,act3_n_arrears,agr6_Mean_CMaxA_Due,0.8042983988829125,0.228675628018439,0.2737817671897318,0.75
raw_numeric_correlation,ags3_Min_CMaxI_Due,ags3_Max_CMaxI_Due,ags3_Min_CMaxI_Due,ags3_Max_CMaxI_Due,0.8032325244068265,0.018862267616172268,0.040103967726576206,0.75
raw_numeric_correlation,agr3_Min_CMaxI_Due,act_cins_maxdue,agr3_Min_CMaxI_Due,act_cins_maxdue,0.801926968318496,0.018390567034852978,0.03180904890721381,0.75
raw_numeric_correlation,agr12_Mean_CMaxC_Due,agr6_Mean_CMaxA_Due,agr12_Mean_CMaxC_Due,agr6_Mean_CMaxA_Due,0.7964340637445867,0.20855078302819718,0.2737817671897318,0.75
raw_numeric_correlation,ags6_Min_CMaxC_Days,agr6_Mean_CMaxC_Days,ags6_Min_CMaxC_Days,agr6_Mean_CMaxC_Days,0.7948348698025643,0.3261143697316302,0.3489935484546116,0.75
raw_numeric_correlation,ags9_Min_CMaxC_Days,ags12_Mean_CMaxC_Days,ags9_Min_CMaxC_Days,ags12_Mean_CMaxC_Days,0.7945222793893778,0.4273952604948801,0.4277513251045172,0.75
raw_numeric_correlation,ags6_Max_CMaxA_Days,agr9_Max_CMaxA_Days,ags6_Max_CMaxA_Days,agr9_Max_CMaxA_Days,0.7888051120054829,0.012660569180135584,0.018482133980755044,0.75
raw_numeric_correlation,agr6_Max_CMaxC_Due,agr6_Mean_CMaxA_Due,agr6_Max_CMaxC_Due,agr6_Mean_CMaxA_Due,0.7861901349452384,0.15794042392879737,0.2737817671897318,0.75
raw_numeric_correlation,ags9_Max_CMaxA_Days,ags12_Max_CMaxA_Days,ags9_Max_CMaxA_Days,ags12_Max_CMaxA_Days,0.7850537863355816,0.016439667847444328,0.03022624884233238,0.75
raw_numeric_correlation,agr6_Max_CMaxI_Due,agr12_Max_CMaxI_Due,agr6_Max_CMaxI_Due,agr12_Max_CMaxI_Due,0.7828490527152036,0.0409945216804366,0.05392063500368871,0.75
raw_numeric_correlation,act_ccss_utl,act_ccss_min_lninst,act_ccss_utl,act_ccss_min_lninst,0.781875068595418,0.382022007461398,0.4169160775859815,0.75
raw_numeric_correlation,agr12_Max_CMaxA_Days,ags12_Max_CMaxA_Days,agr12_Max_CMaxA_Days,ags12_Max_CMaxA_Days,0.7808491211253006,0.017664048724080228,0.03022624884233238,0.75
raw_numeric_correlation,act12_n_arrears,agr6_Mean_CMaxA_Due,act12_n_arrears,agr6_Mean_CMaxA_Due,0.7802708312791159,0.16597189156380643,0.2737817671897318,0.75
raw_numeric_correlation,act_cins_seniority,act_ccss_seniority,act_cins_seniority,act_ccss_seniority,0.7792944529226835,0.14342784786282747,0.27175970740436495,0.75
raw_numeric_correlation,agr9_Max_CMaxA_Due,agr6_Mean_CMaxA_Due,agr9_Max_CMaxA_Due,agr6_Mean_CMaxA_Due,0.779102542264031,0.1699063924193034,0.2737817671897318,0.75
raw_numeric_correlation,ags9_Mean_CMaxA_Days,ags12_Min_CMaxA_Days,ags9_Mean_CMaxA_Days,ags12_Min_CMaxA_Days,0.7779917749508966,0.367798782944479,0.40179994453659273,0.75
raw_numeric_correlation,ags3_Mean_CMaxI_Days,agr3_Min_CMaxI_Days,ags3_Mean_CMaxI_Days,agr3_Min_CMaxI_Days,0.7747147127881783,0.0015419873689939134,0.017529837743371912,0.75
raw_numeric_correlation,agr3_Mean_CMaxI_Due,agr6_Mean_CMaxI_Due,agr3_Mean_CMaxI_Due,agr6_Mean_CMaxI_Due,0.7722963105890721,0.039138328877075246,0.0410536477655048,0.75
raw_numeric_correlation,act_cins_min_lninst,act_cins_utl,act_cins_min_lninst,act_cins_utl,0.7714846651715985,0.0046131427345552645,0.04274214224794237,0.75
raw_numeric_correlation,ags12_Max_CMaxC_Due,ags9_Mean_CMaxC_Due,ags12_Max_CMaxC_Due,ags9_Mean_CMaxC_Due,0.7682114707515248,0.15821983392372196,0.22762025356195403,0.75
raw_numeric_correlation,agr9_Mean_CMaxI_Due,agr12_Max_CMaxI_Due,agr9_Mean_CMaxI_Due,agr12_Max_CMaxI_Due,0.7667898332925589,0.04738510964487741,0.05392063500368871,0.75
raw_numeric_correlation,agr6_Mean_CMaxI_Days,agr6_Min_CMaxI_Days,agr6_Mean_CMaxI_Days,agr6_Min_CMaxI_Days,0.7655913484427708,0.03824672844383281,0.04960181459524793,0.75
raw_numeric_correlation,ags6_Max_CMaxC_Days,agr9_Max_CMaxA_Days,ags6_Max_CMaxC_Days,agr9_Max_CMaxA_Days,0.765378248582462,0.003457829497114151,0.018482133980755044,0.75
raw_numeric_correlation,agr9_Mean_CMaxC_Days,agr12_Mean_CMaxC_Days,agr9_Mean_CMaxC_Days,agr12_Mean_CMaxC_Days,0.7623933040592523,0.3890195534672477,0.39344825421077145,0.75
raw_numeric_correlation,ags6_Min_CMaxA_Days,ags12_Min_CMaxA_Days,ags6_Min_CMaxA_Days,ags12_Min_CMaxA_Days,0.7618098825427417,0.35526274481077036,0.40179994453659273,0.75
raw_numeric_correlation,ags12_Mean_CMaxA_Due,ags9_Mean_CMaxC_Due,ags12_Mean_CMaxA_Due,ags9_Mean_CMaxC_Due,0.7617603423611813,0.19018454663896978,0.22762025356195403,0.75
raw_numeric_correlation,agr9_Min_CMaxA_Days,agr12_Mean_CMaxA_Days,agr9_Min_CMaxA_Days,agr12_Mean_CMaxA_Days,0.7604222013827963,0.3196230581266971,0.40264026748012993,0.75
raw_numeric_correlation,ags12_Mean_CMaxC_Due,ags9_Mean_CMaxC_Due,ags12_Mean_CMaxC_Due,ags9_Mean_CMaxC_Due,0.7600061052062402,0.192180706059639,0.22762025356195403,0.75
raw_numeric_correlation,ags9_Max_CMaxC_Days,ags12_Max_CMaxA_Days,ags9_Max_CMaxC_Days,ags12_Max_CMaxA_Days,0.7596086487036946,0.015423013128083696,0.03022624884233238,0.75
raw_numeric_correlation,ags6_Min_CMaxI_Days,ags6_Mean_CMaxI_Days,ags6_Min_CMaxI_Days,ags6_Mean_CMaxI_Days,0.7558113113582127,0.01436816191129009,0.043919169932554514,0.75
raw_numeric_correlation,ags12_Min_CMaxC_Due,ags12_Max_CMaxA_Due,ags12_Min_CMaxC_Due,ags12_Max_CMaxA_Due,0.7544078689100512,0.009886613958988377,0.15681990613079932,0.75
raw_numeric_correlation,agr3_Mean_CMaxC_Days,agr6_Mean_CMaxC_Days,agr3_Mean_CMaxC_Days,agr6_Mean_CMaxC_Days,0.7539910735462075,0.33568128423949717,0.3489935484546116,0.75
raw_numeric_correlation,agr6_Min_CMaxC_Days,agr9_Min_CMaxC_Days,agr6_Min_CMaxC_Days,agr9_Min_CMaxC_Days,0.7526735029738988,0.3615248774311024,0.36673032749572243,0.75
encoded_correlation,act_ccss_n_loan,app_char_branch,num__act_ccss_n_loan,cat__app_char_branch_Empty,0.7508159994853183,0.01369213623068588,0.22457787637939086,0.75
raw_numeric_correlation,agr9_Min_CMaxI_Days,agr12_Min_CMaxI_Days,agr9_Min_CMaxI_Days,agr12_Min_CMaxI_Days,0.7503908835298609,0.03753093654672279,0.058614879890328875,0.75
