feature,coefficient,importance
num__agr6_Min_CMaxI_Days,-0.014341015025743309,0.014341015025743309
num__agr9_Min_CMaxC_Days,-0.014315058538707926,0.014315058538707926
num__agr6_Min_CMaxI_Due,-0.012586037260472086,0.012586037260472086
num__act12_n_good_days,-0.008989669167082135,0.008989669167082135
num__ags12_Max_CMaxA_Days,0.007426260516131404,0.007426260516131404
num__act_cins_cc,-0.006543851756508598,0.006543851756508598
num__agr12_Min_CMaxI_Due,0.00422706183712448,0.00422706183712448
cat__app_char_marital_status_Widowed,0.003957261310111397,0.003957261310111397
num__ags3_Max_CMaxC_Days,0.00042444149140575464,0.00042444149140575464
num__act_cus_active,0.0,0.0
num__agr9_Max_CMaxA_Days,0.0,0.0
num__ags9_Mean_CMaxC_Due,0.0,0.0
num__ags9_Max_CMaxI_Due,0.0,0.0
num__ags9_Min_CMaxI_Days,0.0,0.0
cat__app_char_marital_status_infrequent_sklearn,0.0,0.0
num__agr9_Max_CMaxI_Days,0.0,0.0
num__ags3_Max_CMaxI_Days,0.0,0.0
num__agr6_Max_CMaxI_Days,0.0,0.0
num__agr3_Max_CMaxC_Due,0.0,0.0
