feature,coefficient,importance
num__missingindicator_ags3_Mean_CMaxI_Days,0.008247606005318864,0.008247606005318864
num__missingindicator_agr9_Max_CMaxA_Days,0.0057077778605652925,0.0057077778605652925
num__act12_n_arrears_days,-0.005654930950944363,0.005654930950944363
num__missingindicator_ags3_Max_CMaxI_Days,0.005395684856913532,0.005395684856913532
num__agr12_Max_CMaxC_Days,-0.005011112816186446,0.005011112816186446
num__missingindicator_ags3_Min_CMaxI_Days,0.004984980124198184,0.004984980124198184
num__missingindicator_agr9_Min_CMaxA_Days,0.004948927733851759,0.004948927733851759
num__missingindicator_agr6_Mean_CMaxA_Due,0.004638806414869657,0.004638806414869657
num__missingindicator_agr3_Max_CMaxC_Days,0.00407713320675274,0.00407713320675274
num__ags12_Mean_CMaxA_Days,-0.0028843160774008696,0.0028843160774008696
num__missingindicator_act_ccss_seniority,-0.00177815006046953,0.00177815006046953
num__missingindicator_ags6_Max_CMaxI_Days,0.0014352695112632712,0.0014352695112632712
num__missingindicator_agr6_Max_CMaxA_Due,0.0009909457773699352,0.0009909457773699352
num__missingindicator_ags6_Mean_CMaxI_Days,0.0009076007991297066,0.0009076007991297066
num__missingindicator_agr12_Max_CMaxC_Due,-0.0005457148574781528,0.0005457148574781528
num__missingindicator_act_ccss_n_statC,-0.00025505373628256306,0.00025505373628256306
num__missingindicator_act_ccss_n_loans_hist,-5.995787769799647e-05,5.995787769799647e-05
num__missingindicator_act_ccss_min_seniority,-3.857110450476135e-05,3.857110450476135e-05
num__ags12_Max_CMaxC_Due,2.500409770820224e-05,2.500409770820224e-05
num__missingindicator_agr6_Max_CMaxA_Days,1.799934257855609e-05,1.799934257855609e-05
num__missingindicator_agr9_Mean_CMaxI_Days,1.279364057498921e-05,1.279364057498921e-05
num__missingindicator_ags6_Min_CMaxI_Days,6.001336253613565e-06,6.001336253613565e-06
num__missingindicator_agr6_Mean_CMaxA_Days,5.836375965442659e-06,5.836375965442659e-06
num__missingindicator_agr9_Min_CMaxC_Due,0.0,0.0
num__missingindicator_ags12_Max_CMaxC_Due,0.0,0.0
num__missingindicator_ags3_Mean_CMaxI_Due,0.0,0.0
num__missingindicator_ags12_Min_CMaxC_Days,0.0,0.0
num__missingindicator_agr3_Mean_CMaxI_Due,0.0,0.0
num__missingindicator_ags12_Mean_CMaxC_Due,0.0,0.0
num__missingindicator_ags12_Min_CMaxC_Due,0.0,0.0
num__missingindicator_ags3_Max_CMaxI_Due,0.0,0.0
num__missingindicator_agr12_Mean_CMaxA_Days,0.0,0.0
num__missingindicator_agr3_Min_CMaxI_Days,0.0,0.0
num__missingindicator_agr12_Max_CMaxA_Days,0.0,0.0
num__missingindicator_agr3_Max_CMaxI_Days,0.0,0.0
num__missingindicator_agr12_Min_CMaxA_Days,0.0,0.0
num__missingindicator_agr3_Max_CMaxI_Due,0.0,0.0
num__missingindicator_agr3_Min_CMaxI_Due,0.0,0.0
num__missingindicator_act_ccss_cc,0.0,0.0
num__missingindicator_ags3_Min_CMaxI_Due,0.0,0.0
num__missingindicator_agr12_Min_CMaxC_Days,0.0,0.0
num__missingindicator_ags3_Mean_CMaxC_Days,0.0,0.0
num__missingindicator_ags12_Max_CMaxC_Days,0.0,0.0
num__missingindicator_ags3_Max_CMaxC_Days,0.0,0.0
num__missingindicator_agr12_Max_CMaxC_Days,0.0,0.0
num__missingindicator_ags3_Min_CMaxC_Days,0.0,0.0
num__missingindicator_agr3_Mean_CMaxC_Due,0.0,0.0
num__missingindicator_ags3_Mean_CMaxC_Due,0.0,0.0
num__missingindicator_agr3_Max_CMaxC_Due,0.0,0.0
num__missingindicator_ags3_Max_CMaxC_Due,0.0,0.0
